"name","start"
"Kamentsa Inga San Francisco - indig",NA
"Diamante - indig",NA
"Miriti Parana (La Pradera) - indig",NA
"Pingullo Sardinero - indig",NA
"Cuasbi La Faldada - indig",NA
"Nasatha - indig",NA
"Saunde Guiguay - indig",NA
"Maticuru - indig",NA
"Paina - indig",NA
"Pipalta, Palbi, Yaguapi - indig",NA
"Planadas De Telembi - indig",NA
"Guayabero De La Maria - indig",NA
"Alto Sinu, Esmeralda Cruz Grande E Iwagado (Unificacion) - indig",NA
"Polindara - indig",NA
"El Cedrito - indig",NA
"Sikuani De Awaliba - indig",NA
"Macucuana - indig",NA
"La Isla - indig",NA
"Imba - indig",NA
"Calarca - indig",NA
"Zit - Set Del Quecal - indig",NA
"Socorpa - indig",NA
"Munguido - indig",NA
"Laguna Tranquila - indig",NA
"Alpamanga - indig",NA
"Mamey De Dipurdu - indig",NA
"Selva Verde - indig",NA
"Nazaret - indig",NA
"Castilla Angostura - indig",NA
"Selva De Mataven - indig",NA
"Tumbichucue - indig",NA
"Witora O Huitora - indig",NA
"Pena La Alegria - indig",NA
"Canoas - indig",NA
"Murcielago Altomira - indig",NA
"Bete, Auro Bete Auro Buey - indig",NA
"Comunidad Indigena El Sande - indig",NA
"El Doce Quebrada Borbollon - indig",NA
"Totarco Dinde Independiente - indig",NA
"Damasco Vides - indig",NA
"Sanandocito - indig",NA
"La Delfina - indig",NA
"Guaipa Uno - indig",NA
"El Hacha - indig",NA
"Resguardo Indigena Nataroco - indig",NA
"Rio Cuiari E Isana - indig",NA
"Triunfo Cristal - indig",NA
"Comunidad Indigena De Muellamuez - indig",NA
"Santa Cecilia Quebrada Oro Choco - indig",NA
"Comunidad Embera Rios Uva Pogue, Quebrada Taparal - indig",NA
"Rio Domingodo - indig",NA
"Chenche Buenos Aires Tradicional - indig",NA
"Potrerito (Coyaima) - indig",NA
"San Miguel (De Natagaima) - indig",NA
"Yurayaco - indig",NA
"Flor Del Monte - indig",NA
"Puerto Libre Del Rio Pepe - indig",NA
"Resguardo Indigena Mesas De San Juan - indig",NA
"Pueblo Nuevo Laguna Colorada - indig",NA
"Comunidad Indigena Embera Asentada En La Zona Infi - indig",NA
"Embera  -  Cholo Del Rio Guangui - indig",NA
"Ordo Siviru Aguaclara - indig",NA
"Andagueda - indig",NA
"El Espingo - indig",NA
"La Esperanza ( De Belen De Andaquies ) - indig",NA
"Paez De El Libano - indig",NA
"Sikuani De Vencedor, Piriri, Guamito, Matanegra, Siniquiba, Sisiba, Lindatan, Chaparral Y Remanso - indig",NA
"Comunidad Tunebo De Angosturas - indig",NA
"Muco Mayoragua - indig",NA
"Tinajas - indig",NA
"Amparrado Alto Medio - indig",NA
"Calle Santa Rosa - indig",NA
"Nueva Esperanza Del Tomo - indig",NA
"Chami (Eriom Garrapatas) - indig",NA
"Saliva Corregimiento De Santa Rosalia - indig",NA
"Nukak  -  Maku - indig",NA
"Piedra Sellada Quebrada Tronqueria - indig",NA
"Nasa Hu - indig",NA
"Poblazon - indig",NA
"Salivas Y Piapocos (Corozal Y Tapaojo) - indig",NA
"Paez Las Mercedes - indig",NA
"Unificado Chami - indig",NA
"Bache - indig",NA
"La Cristalina (Choco) - indig",NA
"Cerrodeo - indig",NA
"Meche San Cayetano - indig",NA
"Rios Catru, Dubasa, Ankoso - indig",NA
"Tronqueria, Pulgande Y Palicito - indig",NA
"Uitiboc - indig",NA
"Chachajo - indig",NA
"El Cedro, La Brava, Las Penas, Pilvi Y La Pintada - indig",NA
"La Nueva Esperanza - indig",NA
"Rio La Playa - indig",NA
"Comunidad Indigena Embera Chami Y Zenu De La Palma - indig",NA
"La Sortija - indig",NA
"Coayare El Coco - indig",NA
"Papayo - indig",NA
"Arara, Bacati, Cararu, Lagos De Jamaicuru - indig",NA
"El Tambo - indig",NA
"Blasiaku - indig",NA
"Totarco Tamarindo - indig",NA
"Pichicora, Chicue, Punto Alegre. - indig",NA
"Puerto Limon - indig",NA
"Yarinal  -  San Marcelino, Amaron - indig",NA
"Calenturas - indig",NA
"Chimurro Y Nendo - indig",NA
"Jambalo - indig",NA
"Zanja Honda - indig",NA
"Sirena Berrecuy - indig",NA
"Palma Alta - indig",NA
"Pablo Muera - indig",NA
"Rio Satinga - indig",NA
"Rio Mumbu - indig",NA
"Bachaco Buena Vista - indig",NA
"Huellas - indig",NA
"San Miguel (De Solano) - indig",NA
"Cano Negro - indig",NA
"La Voragine  -  La Ilusion - indig",NA
"Puerto De Chichiliano - indig",NA
"Kogui  -  Malayo Arhuaco - indig",NA
"Ishu Awa - indig",NA
"Cano Claro - indig",NA
"Beltran - indig",NA
"Chaquenoda - indig",NA
"San Rafael - indig",NA
"Tucan De Cano Giriza Y Puerto La Palma - indig",NA
